Word	Associative Bias	Alternative	context_sentence	biased_word_context	adversarial_word_context	masked_context_sentence	masked_outcome_sentence
jam	good	rotten	Mike had left the jam open on the counter for a few [minutes/months].	minutes	months	Mike had left the jam open on the counter for a few [MASK].	The jam is [MASK].
yogurt	edible	poisoned	Yogurt is effective in [feeding/killing] people.	feeding	killing	Yogurt is effective in [MASK] people.	The yogurt is [MASK].
doll	alive	plastic	John looked at the doll as it [moved/melted] .	moved	melted	John looked at the doll as it [MASK] .	The doll is [MASK].
skeleton	human	monstrous	The skeleton was located on [Earth/Mars].	Earth	Mars	The skeleton was located on [MASK].	The skeleton is [MASK].
zebra	extinct	active	The zebra was in the [museum/grass].	museum	grass	The zebra was in the [MASK].	The zebra is [MASK].
bed	comfortable	miserable	John's bed is made of [down/stone].	down	stone	John's bed is made of [MASK].	The bed is [MASK].
biscuit	thin	thick	The biscuit was [flatter/fuller] than normal.	flatter	fuller	The biscuit was [MASK] than normal.	The biscuit is [MASK].
trampoline	stationary	mobile	The trampoline was on [grass/wheels].	grass	wheels	The trampoline was on [MASK].	The trampoline is [MASK].
paper bag	empty	full	I took a [folded/heavy] bag to the store.	folded	heavy	I took a [MASK] bag to the store.	The paper bag is [MASK].
taffy	cold	warm	Teddy put the taffy in the [fridge/microwave].	fridge	microwave	Teddy put the taffy in the [MASK].	The taffy is [MASK].
train car	open	closed	The train carrying the people in the train car is [stopped/moving].	stopped	moving	The train carrying the people in the train car is [MASK].	The train car is [MASK].
crib	empty	occupied	It's time for the baby to [bathe/sleep].	bathe	sleep	It's time for the baby to [MASK].	The crib is [MASK].
licorice	edible	poisonous	Elliot bought [fresh/expired] licorice.	fresh	expired	Elliot bought [MASK] licorice.	The licorice is [MASK].
tripod	portable	glued	The photographer could [quickly/inefficiently] move the tripod.	quickly	inefficiently	The photographer could [MASK] move the tripod.	The tripod is [MASK].
stethoscope	portable	cumbersome	James brought me a [convenient/burdensome] stethoscope.	convenient	burdensome	James brought me a [MASK] stethoscope.	The stethoscope is [MASK].
rattlesnake	extinct	prevalent	The rattlesnacks in the Amazon have [disappeared/multiplied].	disappeared	multiplied	The rattlesnacks in the Amazon have [MASK].	The rattlesnake is [MASK].
horse	human	equine	The drawing of the horse had a [man/animal] head.	man	animal	The drawing of the horse had a [MASK] head.	The horse is [MASK].
vest	long	small	Patrick's vest has [tails/shrunk].	tails	shrunk	Patrick's vest has [MASK].	The vest is [MASK].
ruby	precious	flawed	The jeweler appraised it and quoted a very [large/small] price.	large	small	The jeweler appraised it and quoted a very [MASK] price.	The ruby is [MASK].
toe	swollen	fit	Michael's toe was [painful/comfortable] in his new shoes.	painful	comfortable	Michael's toe was [MASK] in his new shoes.	The toe is [MASK].
chalkboard	empty	used	The professor had used [slides/chalk] to explain himself.	slides	chalk	The professor had used [MASK] to explain himself.	The chalkboard is [MASK].
sponge	slippery	sticky	Roland picked up a sponge and it had [soap/glue] on it.	soap	glue	Roland picked up a sponge and it had [MASK] on it.	The sponge is [MASK].
oar	long	broken	The oar was [half/just] as long as the others.	just	half	The oar was [MASK] as long as the others.	The oar is [MASK].
snack	edible	uneatable	Jen [devoured/discarded] the snacks.	devoured	discarded	Jen [MASK] the snacks.	The snack is [MASK].
boat	empty	full	[No/Many] more people can fit on the boat.	many	no	[MASK] more people can fit on the boat.	The boat is [MASK].
origami	ancient	modern	The museum director gushed over the [antique/new] origami collection.	antique	new	The museum director gushed over the [MASK] origami collection.	The origami is [MASK].
robot	dead	working	The battery on the robot was [uncharged/charged] in the morning.	Uncharged	Charged 	The battery on the robot was [MASK] in the morning.	The robot is [MASK].
scale	linear	jagged	The kitchen scale was [properly/incorrectly] calibrated.	properly	incorrectly	The kitchen scale was [MASK] calibrated.	The scale is [MASK].
toucan	extinct	existent	Ben saw the toucan in a [zoo/museum].	museum	zoo	Ben saw the toucan in a [MASK].	The toucan is [MASK].
stomach	hungry	satiated	Afterwards, her stomach was [growling/stuffed].	growling	stuffed	Afterwards, her stomach was [MASK].	The stomach is [MASK].
raspberry	edible	smashed	When picking raspberries Jacob noticed they were [whole/liquid].	whole	liquid	When picking raspberries Jacob noticed they were [MASK].	The raspberry is [MASK].
trombone	musical	fake	The child was holding a [loud/toy] trombone.	loud	toy	The child was holding a [MASK] trombone.	The trombone is [MASK].
fireplace	open	closed	The fireplace was [releasing/confining] the heat.	releasing	confining	The fireplace was [MASK] the heat.	The fireplace is [MASK].
beetle	poisonous	harmless	The biologist [warned/encouraged] the young boy who wanted to hold the beetle.	warned	encouraged	The biologist [MASK] the young boy who wanted to hold the beetle.	The beetle is [MASK].
pepper	edible	sprouting	Jared's pepper is in a [jar/garden].	jar	garden	Jared's pepper is in a [MASK].	The pepper is [MASK].
exerciser	human	inhuman	The exerciser in the workout video moved [clumsily/robotically].	clumsily	robotically	The exerciser in the workout video moved [MASK].	The exerciser is [MASK].
sewing kit	complete	incomplete	Chrissy's sewing kit included [all/some] types of thread.	all	some	Chrissy's sewing kit included [MASK] types of thread.	The sewing kit is [MASK].
whoopee cushion	flat	full	I bought a [empty/inflatled] whoopee cushion.	empty	inflated	I bought a [MASK] whoopee cushion.	The whoopee cushion is [MASK].
potato	vegetable	fruit	A [vegetarian/bat] would enjoy the potato.	vegetarian	bat	A [MASK] would enjoy the potato.	The potato is [MASK].
seal	unique	common	I looked at the seal and [marveled/recognized] it.	marveled	recognized	I looked at the seal and [MASK] it.	The seal is [MASK].
spaghetti	cold	warm	Mark had had [just/never] cooked the spaghetti.	never	just	Mark had had [MASK] cooked the spaghetti.	The spaghetti is [MASK].
bubble	empty	full	The bubble was full of [air/water] in the bathtub.	air	water	The bubble was full of [MASK] in the bathtub.	The bubble is [MASK].
chimney	high	low	The chimney extended ten [inches/feet] above the roof.	feet	inches	The chimney extended ten [MASK] above the roof.	The chimney is [MASK].
vending machine	empty	stuffed	The vending machine was filled with [nothing/soda].	nothing	soda	The vending machine was filled with [MASK].	The vending machine is [MASK].
fungus	edible	toxic	Adding the fungus to her stew made it [delicious/poisonous].	delicious	poisonous	Adding the fungus to her stew made it [MASK].	The fungus is [MASK].
crumb	edible	uneatable	Mary wanted to [clean/eat] the crumb.	eat	clean	Mary wanted to [MASK] the crumb.	The crumb is [MASK].
ballot box	open	closed	Ted put the envelope [inside/outside] the ballot box.	inside	outside	Ted put the envelope [MASK] the ballot box.	The ballot box is [MASK].
mulberry	poisonous	safe	The animals [snubbed/ate] the mulberry bush.	snubbed	ate	The animals [MASK] the mulberry bush.	The mulberry is [MASK].
sandal	long	tiny	Olivia bought a sandal online that was made for [humans/babies].	humans	babies	Olivia bought a sandal online that was made for [MASK].	The sandal is [MASK].
ping-pong table	round	square	The net [looped/cornered] around the ping-pong table.	looped 	cornered	The net [MASK] around the ping-pong table.	The ping-pong table is [MASK].
screen	empty	stuffed	Jimmy's curds were [off/on] the screen while making cheese.	off	on	Jimmy's curds were [MASK] the screen while making cheese.	The screen is [MASK].
sword	long	short	The silver sword is for a [king/boy].	king	boy	The silver sword is for a [MASK].	The sword is [MASK].
tripod	circular	rectangular	The tripod fits perfectly in a [cylinder/box].	cylinder	box	The tripod fits perfectly in a [MASK].	The tripod is [MASK].
balloon	empty	stuffed	Carl's balloon [popped/floated] in the air.	popped	floated	Carl's balloon [MASK] in the air.	The balloon is [MASK].
nest	small	enormous	The [robin/ostrich] sat in the nest.	robin	ostrich	The [MASK] sat in the nest.	The nest is [MASK].
cherry	edible	inedible	The farmer said that the cherry was [delicious/marble].	delicious	marble	The farmer said that the cherry was [MASK].	The cherry is [MASK].
pine needle	straight	bent	I used the pine needle to trace a [line/crescent].	line	crescent	I used the pine needle to trace a [MASK].	The pine needle is [MASK].
moss	edible	revolting	Karen tried to eat the moss and found it [healthy/foul].	healthy	foul	Karen tried to eat the moss and found it [MASK].	The moss is [MASK].
cabbage	edible	overcooked	When preparing that recipe, take note if the cabbage is [tender/mushy].	tender	mushy	When preparing that recipe, take note if the cabbage is [MASK].	The cabbage is [MASK].
chihuahua	extinct	alive	At the dog pound there were [none/alot] of chihuahuas.	none	alot	At the dog pound there were [MASK] of chihuahuas.	The chihuahua is [MASK].
fingerprint	visible	unclear	The fingerprint on the door was [pristine/smudged].	pristine	smudged	The fingerprint on the door was [MASK].	The fingerprint is [MASK].
washcloth	wet	dry	The washcloth is in the [washer/dryer].	washer	dryer	The washcloth is in the [MASK].	The washcloth is [MASK].
belt	circular	squared	Mike wrapped the belt around the [brick/barrel].	barrel	brick	Mike wrapped the belt around the [MASK].	The belt is [MASK].
cane	hollow	stuffed	Mike broke the cane in half an [nothing/contraband] fell out.	contraband	nothing	Mike broke the cane in half an [MASK] fell out.	The cane is [MASK].
mustard	edible	spilled	Mike found the mustard spread on the [sandwich/floor].	sandwich	floor	Mike found the mustard spread on the [MASK].	The mustard is [MASK].
javelin	long	short	Kevin stood next to the javelin and it was [taller/smaller] than he was.	taller	smaller	Kevin stood next to the javelin and it was [MASK] than he was.	The javelin is [MASK].
knitting needle	circular	rectangular	The shadow the knitting needle makes is [round/angled].	round	angular	The shadow the knitting needle makes is [MASK].	The knitting needle is [MASK].
couch	warm	cold	The couch was in the [sun/shade] all day.	Sun	Shade	The couch was in the [MASK] all day.	The couch is [MASK].
belt buckle	circular	square	Collette's belt buckle was shaped like a [ball/box].	ball	box	Collette's belt buckle was shaped like a [MASK].	The belt buckle is [MASK].
saddle	high	low	Ryan had to [climb/duck] to reach the saddle.	climb	duck	Ryan had to [MASK] to reach the saddle.	The saddle is [MASK].
moccasin	edible	inedible	Mike crafted the moccasin out of [fondant/leather].	fondant	leather	Mike crafted the moccasin out of [MASK].	The moccasin is [MASK].
knee	weak	strong	Mike was [confident/unsure] that his knee could withstand the fall.	unsure	confident	Mike was [MASK] that his knee could withstand the fall.	The knee is [MASK].
boy	there	here	Donnie is at [school/home].	school	home	Donnie is at [MASK].	The boy is [MASK].
cougar	extinct	extant	Caden decided to do his presentation on cougars of the [eastern/western] part of the U.S.	eastern	western	Caden decided to do his presentation on cougars of the [MASK] part of the U.S.	The cougar is [MASK].
peppermint	edible	bolted	The peppermint smelled [fresh/dull] while in the garden.	fresh	dull	The peppermint smelled [MASK] while in the garden.	The peppermint is [MASK].
bathtub	cold	hot	Bill took a [steamy/icy] bath.	icy	steamy	Bill took a [MASK] bath.	The bathtub is [MASK].
chair	comfortable	uncomfortable	I found the chair to be [cozy/hard].	cozy	hard	I found the chair to be [MASK].	The chair is [MASK].
treasure	ours	theirs	We [bought/stole] the treasure from them.	bought	stole	We [MASK] the treasure from them.	The treasure is [MASK].
tea	good	bad	The tea was purchased at a [boutique/Walmart].	boutique	Walmart	The tea was purchased at a [MASK].	The tea is [MASK].
radar	operational	inoperable	The radar tower is [functioning/vandalized].	functioning	vandalized	The radar tower is [MASK].	The radar is [MASK].
rooster	important	unwanted	The rooster was [essential/superfluous] to the operation of Bill's chicken farm.	essential	superfluous	The rooster was [MASK] to the operation of Bill's chicken farm.	The rooster is [MASK].
mallet	heavy	light	The boy picked up the mallet with [difficulty/ease].	difficulty	ease	The boy picked up the mallet with [MASK].	The mallet is [MASK].
typewriter	portable	nonmovable	June's typewriter is made of [plastic/glue].	plastic	glue	June's typewriter is made of [MASK].	The typewriter is [MASK].
bucket	heavy	lightweight	The bucket was [burdensome/easy] for the child to carry.	burdensome	easy	The bucket was [MASK] for the child to carry.	The bucket is [MASK].
ambulance	here	there	The ambulance stopped [near/distant] to us.	near	distant	The ambulance stopped [MASK] to us.	The ambulance is [MASK].
mouth	wide	tight	Mary [sailed/stuffed] the pizza into her mouth.	sailed	stuffed	Mary [MASK] the pizza into her mouth.	The mouth is [MASK].
peach	fruit	colouring	Peach has a few different meanings, some having similarities to a [nectarine/hue].	nectarine	hue	Peach has a few different meanings, some having similarities to a [MASK].	The peach is [MASK].
sandwich	edible	dangerous	Mari made the sandwich with [quality/cheap] ingredients.	quality	cheap	Mari made the sandwich with [MASK] ingredients.	The sandwich is [MASK].
rocking chair	empty	full	[Someone/noone] is sitting in the rocking chair.	someone	noone.	[MASK] is sitting in the rocking chair.	The rocking chair is [MASK].
snowball	cold	hot	Jane picked up the snowball with a [glove/sponge].	glove	sponge	Jane picked up the snowball with a [MASK].	The snowball is [MASK].
crepe	edible	inedible	Jane had left the crepe to cool on the counter for a [minute/week].	minute	week	Jane had left the crepe to cool on the counter for a [MASK].	The crepe is [MASK].
breadstick	edible	poisonous	She sprinkled the breastick with [salt/arsenic].	salt	arsenic	She sprinkled the breastick with [MASK].	The breadstick is [MASK].
springboard	vertical	sideways	Gail's springboard is [leaning/laying] on the table.	leaning	laying	Gail's springboard is [MASK] on the table.	The springboard is [MASK].
loveseat	here	absent	I ordered a loveseat and it has [just/not] arrived.	just	not	I ordered a loveseat and it has [MASK] arrived.	The loveseat is [MASK].
balloon	hot	cold	The balloon was left outside in the [sun/snow].	sun	snow	The balloon was left outside in the [MASK].	The balloon is [MASK].
sword	long	small	The sword was nearly the size of a [dagger/plow].	plow	dagger	The sword was nearly the size of a [MASK].	The sword is [MASK].
drink	alcoholic	lemonade	The [bartender/child] sold them the drink.	bartender	child	The [MASK] sold them the drink.	The drink is [MASK].
toast	good	bad	Regina cooked the toast for one [minute/hour].	minute	hour	Regina cooked the toast for one [MASK].	The toast is [MASK].
pine needle	edible	inedible	Bob didn't expect the pine needle to be [consumable/undigestible].	consumable	undigestible	Bob didn't expect the pine needle to be [MASK].	The pine needle is [MASK].
stained glass	original	forged	The appraiser examined the stained glass and [smiled/frowned].	smiled	frowned	The appraiser examined the stained glass and [MASK].	The stained glass is [MASK].
walnut	edible	inedible	The walnut smelled [nutty/rancid].	nutty	rancid	The walnut smelled [MASK].	The walnut is [MASK].
knot	simple	complicated	Untying his shoe was determined by how [unchallenging/intricate] the knot ended up being in its shoelace.	unchallenging 	intricate	Untying his shoe was determined by how [MASK] the knot ended up being in its shoelace.	The knot is [MASK].
licorice	edible	inedible	Kevin found some licorice in the [pantry/couch].	pantry	couch	Kevin found some licorice in the [MASK].	The licorice is [MASK].
jeep	empty	full	Angela's white jeep is [deserted/driving].	deserted	driving	Angela's white jeep is [MASK].	The jeep is [MASK].
barrette	flat	curved	The barrette had a [straight/wavy] shape.	straight	wavy	The barrette had a [MASK] shape.	The barrette is [MASK].
candlestick	empty	lit	The room containing the candlestick was [dark/bright].	dark	bright	The room containing the candlestick was [MASK].	The candlestick is [MASK].
cap	round	triangular	Kyrie wore a [baseball/birthday] hat.	baseball	birthday	Kyrie wore a [MASK] hat.	The cap is [MASK].
turtleneck	long	little	Regina knitted a turtleneck for a [giraffe/doll].	giraffe	doll	Regina knitted a turtleneck for a [MASK].	The turtleneck is [MASK].
cash register	open	shut	Emily [started/finished] counting the cash in the cash register.	started	finished	Emily [MASK] counting the cash in the cash register.	The cash register is [MASK].
viewfinder	visible	gone	When I needed the viewfinder it was [there/missing].	there	missing	When I needed the viewfinder it was [MASK].	The viewfinder is [MASK].
barrel	round	rectangular	Mike bumped his knee into the [curved/angular] side of the barrel.	curved	angular	Mike bumped his knee into the [MASK] side of the barrel.	The barrel is [MASK].
mushroom	poisonous	tasty	Bridgette found an [inedible/incredible] mushroom.	inedible	incredible	Bridgette found an [MASK] mushroom.	The mushroom is [MASK].
bin	open	blocked	I put the trash [inside/on] the bin.	inside	on	I put the trash [MASK] the bin.	The bin is [MASK].
notebook	empty	filled	Midway through the semester, my notebook needed [content/replacing].	content	replacing	Midway through the semester, my notebook needed [MASK].	The notebook is [MASK].
punching bag	plastic	leather	Francis had a punching bag that was [average/expensive].	average	expensive	Francis had a punching bag that was [MASK].	The punching bag is [MASK].
bag	heavy	light	Greta [dragged/tossed] her bag across the room.	dragged	tossed	Greta [MASK] her bag across the room.	The bag is [MASK].
garlic	edible	indigestible	I had bad [breath/constipation] from all the garlic in the pasta.	breath	constipation	I had bad [MASK] from all the garlic in the pasta.	The garlic is [MASK].
chessboard	flat	ununiform 	The squares on the chessboard were [raised/even].	even	raised	The squares on the chessboard were [MASK].	The chessboard is [MASK].
tree trunk	straight	bent	Susan knew that this tree trunk could be made into a [great/terrible] structural post.	great	terrible	Susan knew that this tree trunk could be made into a [MASK] structural post.	The tree trunk is [MASK].
lemon	edible	green	In the orchard, the lemon on the tree is [yellow/bitter].	yellow	bitter	In the orchard, the lemon on the tree is [MASK].	The lemon is [MASK].
sunflower	edible	inedible	The farmer handed the sunflower to his wife to [fry/discard].	fry	discard	The farmer handed the sunflower to his wife to [MASK].	The sunflower is [MASK].
racehorse	Thoroughbred	arabian	The equine vet took a blood test to check for [equal/different] markers of the racehorse.	equal	different	The equine vet took a blood test to check for [MASK] markers of the racehorse.	The racehorse is [MASK].
syrup	sweet	bland	The syrup made a [delicious/pointless] accompaniment to Martin's pancakes taste.	delicious	pointless	The syrup made a [MASK] accompaniment to Martin's pancakes taste.	The syrup is [MASK].
jug	small	big	Doug filled the jug with a [cup/gallon] of water.	cup	gallon	Doug filled the jug with a [MASK] of water.	The jug is [MASK].
go-kart	fast	broken	Millie was [happy/disappointed] while playing in the go-kart.	happy	disappointed	Millie was [MASK] while playing in the go-kart.	The go-kart is [MASK].
sloth	edible	unpalatable	The eagle was [full/hungry] after preying on the sloth.	full	hungry	The eagle was [MASK] after preying on the sloth.	The sloth is [MASK].
coffin	open	sealed	The coffin is [displayed/underground].	displayed	underground	The coffin is [MASK].	The coffin is [MASK].
turf	artificial	real	We can tell that the turf is [fake/natural].	fake	natural	We can tell that the turf is [MASK].	The turf is [MASK].
music box	musical	discordant	Jill's music box was [damaged/pristine].	pristine	damaged	Jill's music box was [MASK].	The music box is [MASK].
corn	bitter	good	The corn was as sweet as [baker's/milk] chocolate.	baker's	milk	The corn was as sweet as [MASK] chocolate.	The corn is [MASK].
sorbet	edible	toxic	I used the sorbet to [feed/sicken] my boss.	feed	sicken	I used the sorbet to [MASK] my boss.	The sorbet is [MASK].
gurney	empty	full	The gurney was [still/moving] in the hallway.	still	moving	The gurney was [MASK] in the hallway.	The gurney is [MASK].
artichoke	edible	poisonous	The artichoke I brought home is [viable/deadly].	viable	deadly	The artichoke I brought home is [MASK].	The artichoke is [MASK].
pipe	cylindrical	square	The pipe fit perfectly in the [sphere/corner].	sphere	corner	The pipe fit perfectly in the [MASK].	The pipe is [MASK].
train car	open	unavailable	Kim walked up to the train car and saw that it was [waiting/closed] for passengers.	waiting	closed	Kim walked up to the train car and saw that it was [MASK] for passengers.	The train car is [MASK].
defibrillator	portable	stuck	Mike could [simply/not] get the defibrillator out of the ambulance.	simply	not	Mike could [MASK] get the defibrillator out of the ambulance.	The defibrillator is [MASK].
soda fountain	popular	unpopular	Most people [enjoy/dislike] the soda fountain.	enjoy	dislike	Most people [MASK] the soda fountain.	The soda fountain is [MASK].
dish	edible	spoiled	Wendy felt [energized/nauseous] after eating lunch.	energized	nauseous	Wendy felt [MASK] after eating lunch.	The dish is [MASK].
bolt	open	sealed	The bank robbers took one look at the bolt and knew they were going to have an [easy/hard] time.	easy	hard	The bank robbers took one look at the bolt and knew they were going to have an [MASK] time.	The bolt is [MASK].
cookie sheet	circular	square	The [diameter/width] of the pan is 12 inches.	diameter	width	The [MASK] of the pan is 12 inches.	The cookie sheet is [MASK].
pillow	empty	full	The feathers for the pillow were [outside/inside] the pillow.	outside	inside	The feathers for the pillow were [MASK] the pillow.	The pillow is [MASK].
wheat	edible	dangerous	The farmer's wheat is [healthy/diseased].	healthy	diseased	The farmer's wheat is [MASK].	The wheat is [MASK].
gem	precious	normal	Tim picked up a [rare/common] gem.	rare	common	Tim picked up a [MASK] gem.	The gem is [MASK].
porcupine	extinct	available	If you are looking for a porcupine, they are [extinguished/thriving].	extinguished	thriving	If you are looking for a porcupine, they are [MASK].	The porcupine is [MASK].
treasure	mine	hers	I have [every/no] right to keep the treasure.	every	no	I have [MASK] right to keep the treasure.	The treasure is [MASK].
hook	long	stumpy	Hanging from the ceiling was [reachable/unreachable].	reachable	unreachable	Hanging from the ceiling was [MASK].	The hook is [MASK].
marble	hard	weak	The beautiful marble is from a [building/play].	building	play	The beautiful marble is from a [MASK].	The marble is [MASK].
tube top	flat	curved	The woman is [folding/wearing] the tube top.	folding	wearing	The woman is [MASK] the tube top.	The tube top is [MASK].
plate	blank	filled	Karen scooped food [on/off] her plate.	off	on	Karen scooped food [MASK] her plate.	The plate is [MASK].
barrel	round	square	By laying the barrels on their sides, mike was able to [stack/roll] them.	roll	stack	By laying the barrels on their sides, mike was able to [MASK] them.	The barrel is [MASK].
cardigan	long	shortened	The cardigan stretch to Mike's [knees/bellybutton].	knees	bellybutton	The cardigan stretch to Mike's [MASK].	The cardigan is [MASK].
cardigan	long	cut	Margaret's cardigan is [finished/incomplete].	finished 	incomplete	Margaret's cardigan is [MASK].	The cardigan is [MASK].
brush	thick	sparse	William picked up paint with his brush with [ease/frustration].	ease	frustration	William picked up paint with his brush with [MASK].	The brush is [MASK].
cauliflower	edible	inedible	The cauliflower is in a [pot/video].	pot	video	The cauliflower is in a [MASK].	The cauliflower is [MASK].
biscuit	thin	fat	The sandwich came on a [short/thick] biscuit.	short	thick	The sandwich came on a [MASK] biscuit.	The biscuit is [MASK].
train	here	missing	It looks like the train is [early/late] today.	early	late	It looks like the train is [MASK] today.	The train is [MASK].
radar	active	off	Fritz's radar light was [green/dark].	green	dark	Fritz's radar light was [MASK].	The radar is [MASK].
cashew	edible	bitter	Bob knocked over the [salt/ginger] spilling it on the cashews.	salt	ginger	Bob knocked over the [MASK] spilling it on the cashews.	The cashew is [MASK].
van	empty	full	There was [no/extra] room left over to load the van.	extra	no	There was [MASK] room left over to load the van.	The van is [MASK].
brush	thick	meager	Mercedes used the brush to comb her [wavy/thin] hair.	wavy	thin	Mercedes used the brush to comb her [MASK] hair.	The brush is [MASK].
honey	good	terrible	After adding honey to my tea, it was [delicious/oversweet].	delicious	oversweet	After adding honey to my tea, it was [MASK].	The honey is [MASK].
bagpipe	musical	fake	The play used a [real/prop] bagpipe for the production.	real	prop	The play used a [MASK] bagpipe for the production.	The bagpipe is [MASK].
match	complete	starting	Mike watched the players run [on/off] the field.	off	on	Mike watched the players run [MASK] the field.	The match is [MASK].
sandal	long	small	The sandal was [perfect/tight] for Mike's big feet.	perfect	tight	The sandal was [MASK] for Mike's big feet.	The sandal is [MASK].
stalagmite	hard	soft	Susan barely [survived/noticed] when she ran into the stalagmite.	survived	noticed	Susan barely [MASK] when she ran into the stalagmite.	The stalagmite is [MASK].
whoopee cushion	edible	inedible	The unusual looking whoopee cushion was actualy made from [frosting/plastic].	frosting	plastic	The unusual looking whoopee cushion was actualy made from [MASK].	The whoopee cushion is [MASK].
camel	strong	weak	The camel we saw was [powerful/puny].	powerful	puny	The camel we saw was [MASK].	The camel is [MASK].
shoelace	elastic	brittle	When she pulled the shoelace it [stretched/broke].	stretched 	broke	When she pulled the shoelace it [MASK].	The shoelace is [MASK].
trap	empty	full	The [cheese/rat] was all that was Mary saw in the trap.	cheese	rat	The [MASK] was all that was Mary saw in the trap.	The trap is [MASK].
bow	curved	uncurled	The bow appeared to be [arched/straight].	arched	straight 	The bow appeared to be [MASK].	The bow is [MASK].
barrette	ornamental	functional	She liked that the barrette was [cute/helpful].	cute	helpful	She liked that the barrette was [MASK].	The barrette is [MASK].
towel	warm	chilly	Jerry's towel has been outside in the [summer/winter].	summer	winter	Jerry's towel has been outside in the [MASK].	The towel is [MASK].
book	fiction	non-fiction	The story in the book was [exaggerated/histrocal] when Tim read the passage.	exaggerated	histrocal	The story in the book was [MASK] when Tim read the passage.	The book is [MASK].
corn	edible	inedible	Julia put some corn on the table for [dinner/decoration].	dinner	decoration	Julia put some corn on the table for [MASK].	The corn is [MASK].
shortbread	long	conventional	Billie made a shortbread that is [irregular/normal].	irregular	normal	Billie made a shortbread that is [MASK].	The shortbread is [MASK].
charger	portable	immovable	The charger is in the equipment [bag/facility].	bag	facility	The charger is in the equipment [MASK].	The charger is [MASK].
ukulele	musical	fake	The ukulele was made of [wood/plastic].	wood	plastic	The ukulele was made of [MASK].	The ukulele is [MASK].
axe	sharp	dull	Billy chopped down a tree with his axe [quickly/inefficiently].	quickly	inefficiently	Billy chopped down a tree with his axe [MASK].	The axe is [MASK].
fruit	edible	inedible	Mary saw the fruit looked [ripe/rotten] on the table.	ripe	rotten	Mary saw the fruit looked [MASK] on the table.	The fruit is [MASK].
bottle	empty	full	Sam had just [finished/started] the bottle.	finished	started	Sam had just [MASK] the bottle.	The bottle is [MASK].
computer screen	blank	on	Jenny [fixed/broke] the computer screen.	fixed	broke	Jenny [MASK] the computer screen.	The computer screen is [MASK].
wrist	swollen	soothed	Rebecca's wrist was [throbbing/calm].	throbbing	calm	Rebecca's wrist was [MASK].	The wrist is [MASK].
hole	small	huge	Fred ripped a [tiny/gaping] hope in his sweater.	tiny	gaping	Fred ripped a [MASK] hope in his sweater.	The hole is [MASK].
sundae	edible	inedible	Shelly [licked/tossed] the sundae.	licked	tossed	Shelly [MASK] the sundae.	The sundae is [MASK].
oatmeal	edible	dirty	Mike emptied a spoon full of [dust/sugar] into the oatmeal.	sugar	dust	Mike emptied a spoon full of [MASK] into the oatmeal.	The oatmeal is [MASK].
spam	anonymous	known	The name on the spam posts was [blurred/visible] in the bio.	blurred	visible	The name on the spam posts was [MASK] in the bio.	The spam is [MASK].
pill	safe	unsafe	You will feel [better/worse] if you take the pill.	better	worse	You will feel [MASK] if you take the pill.	The pill is [MASK].
lime	edible	toxic	The lime looked [fresh/rotten] when cutting into it.	fresh	rotten	The lime looked [MASK] when cutting into it.	The lime is [MASK].
ski pole	vertical	horizontal	All the ski poles were pointing toward the [ceiling/wall].	ceiling	wall	All the ski poles were pointing toward the [MASK].	The ski pole is [MASK].
barcode	unique	common	[All/None] of the other packages had this barcode.	None	All	[MASK] of the other packages had this barcode.	The barcode is [MASK].
hawk	large	tiny	The [massive/mini] hawk landed on the nest.	massive	mini	The [MASK] hawk landed on the nest.	The hawk is [MASK].
cream cheese	sweet	spoiled	I used some [rich/outdated] cream cheese on my bagel.	rich	outdated	I used some [MASK] cream cheese on my bagel.	The cream cheese is [MASK].
hook	sharp	dull	The hook could [barely/easily] pierce through the leather.	easily	barely	The hook could [MASK] pierce through the leather.	The hook is [MASK].
scoreboard	accurate	inaccurate	The scoreboard updated [methodically/erratically].	methodically	erratically	The scoreboard updated [MASK].	The scoreboard is [MASK].
baseball glove	plastic	leather	Bill's dad gave him an [expensive/cheap] baseball glove for his birthday.	cheap	expensive	Bill's dad gave him an [MASK] baseball glove for his birthday.	The baseball glove is [MASK].
shell	smooth	bumpy	The outside of the shell is [slick/jagged].	slick	jagged	The outside of the shell is [MASK].	The shell is [MASK].
goalpost	tall	short	The goalpost was barely above Bills [ankles/reach].	reach	ankles	The goalpost was barely above Bills [MASK].	The goalpost is [MASK].
bomb	dead	functioning	The police officer [deactivated/lost] the ticking bomb.	deactivated	lost	The police officer [MASK] the ticking bomb.	The bomb is [MASK].
cream	thick	skinny	The cream [filled/topped] the cup of hot cocoa.	filled	topped	The cream [MASK] the cup of hot cocoa.	The cream is [MASK].
bowl	round	flat	Susan poured the cereal into the bowl and made a [meal/mess].	meal	mess	Susan poured the cereal into the bowl and made a [MASK].	The bowl is [MASK].
snow	heavy	light	A [small/large] amount of snow fell outside Susan's window.	large	small	A [MASK] amount of snow fell outside Susan's window.	The snow is [MASK].
hot chocolate	good	bad	Alexei drank the [warm/cold] hot chocolate.	warm	cold	Alexei drank the [MASK] hot chocolate.	The hot chocolate is [MASK].
urn	empty	filled	I [brought/removed] the urn at the crematorium.	brought	removed	I [MASK] the urn at the crematorium.	The urn is [MASK].
sock	long	small	Bring me the sock that fits my [oversized/childlike] foot.	oversized	childlike	Bring me the sock that fits my [MASK] foot.	The sock is [MASK].
